State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,05-09-2025,1000,2000,1500
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,FAQ,05-09-2025,1000,1600,1340
Andhra Pradesh,West Godavari,Denduluru,Lime,Lime,Medium,05-09-2025,1600,2600,2300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,Medium,05-09-2025,4000,12000,8000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,05-09-2025,1200,2800,2000
Gujarat,Ahmedabad,Mandal,Cummin Seed(Jeera),Other,FAQ,05-09-2025,16505,18300,17800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bottle gourd,Bottle Gourd,FAQ,05-09-2025,1000,2000,1500
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,FAQ,05-09-2025,3500,4500,4000
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,05-09-2025,1500,2000,1750
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Bottle gourd,Bottle Gourd,FAQ,05-09-2025,3000,4000,3500
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Drumstick,Other,FAQ,05-09-2025,5000,7000,5500
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Tinda,Other,FAQ,05-09-2025,4000,5000,4400
Gujarat,Banaskanth,Deesa(Bhildi),Bajra(Pearl Millet/Cumbu),Other,FAQ,05-09-2025,2055,2905,2600
Gujarat,Banaskanth,Deesa(Bhildi),Rajgir,Other,FAQ,05-09-2025,5590,5625,5605
Gujarat,Banaskanth,Palanpur,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,05-09-2025,1900,2750,2325
Gujarat,Banaskanth,Vadgam,Wheat,147 Average,FAQ,05-09-2025,2655,2655,2655
Gujarat,Bhavnagar,Taleja,Bajra(Pearl Millet/Cumbu),Local,FAQ,05-09-2025,2000,2880,2440
Gujarat,Bhavnagar,Taleja,Bengal Gram(Gram)(Whole),Other,FAQ,05-09-2025,5000,5495,5250
Gujarat,Bhavnagar,Taleja,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,05-09-2025,15000,21650,18325
Gujarat,Bhavnagar,Taleja,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,05-09-2025,7575,9740,8660
Gujarat,Botad,Botad,Jowar(Sorghum),Other,Non-FAQ,05-09-2025,2175,4110,3150
Gujarat,Chhota Udaipur,Bodeliu,Cotton,Shanker 6 (B) 30mm FIne,FAQ,05-09-2025,6870,7021,6960
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,05-09-2025,1525,1540,1535
Gujarat,Dahod,Zalod(Sanjeli),Bajra(Pearl Millet/Cumbu),Other,FAQ,05-09-2025,2350,2625,2625
Gujarat,Gandhinagar,Dehgam,Bajra(Pearl Millet/Cumbu),Other,FAQ,05-09-2025,2450,2515,2482
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,05-09-2025,1950,2160,2055
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,05-09-2025,2675,2695,2685
Gujarat,Gandhinagar,Kalol,Mustard,Other,FAQ,05-09-2025,5605,5605,5605
Gujarat,Gandhinagar,Kalol,Wheat,Other,FAQ,05-09-2025,2555,2710,2650
Gujarat,Junagarh,Bhesan,Cotton,Other,FAQ,05-09-2025,5000,7750,7500
Gujarat,Mehsana,Visnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,05-09-2025,1750,2560,2155
Gujarat,Mehsana,Visnagar,Jowar(Sorghum),Other,FAQ,05-09-2025,3010,3010,3010
Gujarat,Mehsana,Visnagar,Mustard,Other,FAQ,05-09-2025,6250,6425,6337
Gujarat,Mehsana,Visnagar,Wheat,Other,FAQ,05-09-2025,2575,2835,2705
Gujarat,Morbi,Halvad,Cotton,Other,FAQ,05-09-2025,6110,7430,6625
Gujarat,Navsari,Navsari,Capsicum,Capsicum,FAQ,05-09-2025,3500,4000,3750
Gujarat,Navsari,Navsari,Methi(Leaves),Methi,FAQ,05-09-2025,6000,7000,6500
Gujarat,Navsari,Navsari,Potato,(Red Nanital),FAQ,05-09-2025,1000,1900,1450
Gujarat,Porbandar,Porbandar,Cabbage,Cabbage,FAQ,05-09-2025,1000,1500,1250
Gujarat,Porbandar,Porbandar,Chikoos(Sapota),Other,Large,05-09-2025,4000,4500,4250
Gujarat,Porbandar,Porbandar,Guava,Guava,Large,05-09-2025,4500,5000,4750
Gujarat,Porbandar,Porbandar,Pomegranate,Other,Large,05-09-2025,4000,5000,4500
Gujarat,Porbandar,Porbandar,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,05-09-2025,7750,8050,7900
Gujarat,Rajkot,Dhoraji,Corriander seed,Medium Green,FAQ,05-09-2025,6625,7280,7280
Gujarat,Rajkot,Jasdan,Black Gram (Urd Beans)(Whole),Other,FAQ,05-09-2025,4000,4000,4000
Gujarat,Rajkot,Jasdan,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,05-09-2025,6650,9665,8500
Gujarat,Rajkot,Rajkot,Green Gram (Moong)(Whole),Green (Whole),FAQ,05-09-2025,6500,8550,8025
Gujarat,Rajkot,Rajkot,Methi Seeds,Methiseeds,FAQ,05-09-2025,4200,6100,4800
Gujarat,Surat,Songadh(Badarpada),Bhindi(Ladies Finger),Bhindi,FAQ,05-09-2025,3120,4100,3505
