scheme_name,state_ministry,description,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tags,combined_text,scheme_link
"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",Puducherry,"The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially.",Family,Financial Assistance,Fisherman,Missing,Relief,,"Family, Financial Assistance, Fisherman, Relief","""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" Puducherry The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially. Family, Financial Assistance, Fisherman, Relief",https://www.myscheme.gov.in/schemes/ira-wrflsncs
Krishak Utpadak Kshati Sahayata Yojana,Uttarakhand,"The scheme aims to provide financial assistance and compensation to farmers in the event of loss or damage to crops, livestock, or agricultural land caused by fire, flood, or heavy rains in the notified areas of the state.",Agriculture,Compensation,Crop Damage,Damage Assistance,Farmer,Natural Calamities,"Agriculture, Compensation, Crop Damage, Damage Assistance, Farmer, Natural Calamities","Krishak Utpadak Kshati Sahayata Yojana Uttarakhand The scheme aims to provide financial assistance and compensation to farmers in the event of loss or damage to crops, livestock, or agricultural land caused by fire, flood, or heavy rains in the notified areas of the state. Agriculture, Compensation, Crop Damage, Damage Assistance, Farmer, Natural Calamities",https://www.myscheme.gov.in/schemes/kuksy
"""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme""",Assam,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",Holiday,Incentive,Income Tax,Industry,Tea,,"Holiday, Incentive, Income Tax, Industry, Tea","""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme"" Assam The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam. Holiday, Incentive, Income Tax, Industry, Tea",https://www.myscheme.gov.in/schemes/aith-atisis
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Puducherry,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",Boat,Fisheries,Fisherman,Insurance,Marine,,"Boat, Fisheries, Fisherman, Insurance, Marine","""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" Puducherry ""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators. Boat, Fisheries, Fisherman, Insurance, Marine",https://www.myscheme.gov.in/schemes/aipbo-faascdmf
"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme",Puducherry,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",Agriculture,Farmer,Financial Assistance,Paddy,Subsidy,,"Agriculture, Farmer, Financial Assistance, Paddy, Subsidy","""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme Puducherry ""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare. Agriculture, Farmer, Financial Assistance, Paddy, Subsidy",https://www.myscheme.gov.in/schemes/beispgccpts
"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Puducherry,"The scheme ""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" is introduced by the Dept of Fisheries and Fishermen Welfare, Govt of Puducherry to increase marine fish production by extending grants for the conversion/modernization of mechanized boats for deep-sea fishing.",Boat,Financial Assistance,Fisherman,Marine,Subsidy,,"Boat, Financial Assistance, Fisherman, Marine, Subsidy","""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" Puducherry The scheme ""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" is introduced by the Dept of Fisheries and Fishermen Welfare, Govt of Puducherry to increase marine fish production by extending grants for the conversion/modernization of mechanized boats for deep-sea fishing. Boat, Financial Assistance, Fisherman, Marine, Subsidy",https://www.myscheme.gov.in/schemes/cmmfbdsf-faascdmf
"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Puducherry,"The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.",Boat,Financial Assistance,Fisheries,Fisherman,Grant,,"Boat, Financial Assistance, Fisheries, Fisherman, Grant","""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" Puducherry The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats. Boat, Financial Assistance, Fisheries, Fisherman, Grant",https://www.myscheme.gov.in/schemes/fgrmb-faascdmf
"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",Puducherry,"The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods.",Clothes,Fisheries,Fisherman,Relief,Welfare,,"Clothes, Fisheries, Fisherman, Relief, Welfare","""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" Puducherry The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods. Clothes, Fisheries, Fisherman, Relief, Welfare",https://www.myscheme.gov.in/schemes/wrflsncs-fbps
"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",Puducherry,"The award for ""Green and Eco-Friendly Measures"" is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation.",Award,Business,Entrepreneur,Environment,MSME,,"Award, Business, Entrepreneur, Environment, MSME","""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” Puducherry The award for ""Green and Eco-Friendly Measures"" is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation. Award, Business, Entrepreneur, Environment, MSME",https://www.myscheme.gov.in/schemes/gefm-mesifai-sa-msme
"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",Puducherry,"The scheme ""Immediate Death Relief Assistance"" is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family.",Death,Family,Financial Assistance,Fisherman,Relief,,"Death, Family, Financial Assistance, Fisherman, Relief","""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" Puducherry The scheme ""Immediate Death Relief Assistance"" is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family. Death, Family, Financial Assistance, Fisherman, Relief",https://www.myscheme.gov.in/schemes/wrflsncs-idra
